Attribute,Description,Valid Values,DependsOn,Required,Properties,Validation Rules,columnType,Format,Pattern,Minimum,Maximum,IsTemplate,Source
Channel Metal Symbol,Element abbreviation. eg “La” or “Nd”,"H, He, Li, Be, B, C, N, O, F, Ne, Na, Mg, Al, Si, P, S, Cl, Ar, K, Ca, Sc, Ti, V, Cr, Mn, Fe, Co, Ni, Cu, Zn, Ga, Ge, As, Se, Br, Kr, Rb, Sr, Y, Zr, Nb, Mo, Tc, Ru, Rh, Pd, Ag, Cd, In, Sn, Sb, Te, I, Xe, Cs, Ba, La, Ce, Pr, Nd, Pm, Sm, Eu, Gd, Tb, Dy, Ho, Er, Tm, Yb, Lu, Hf, Ta, W, Re, Os, Ir, Pt, Au, Hg, Tl, Pb, Bi, Po, At, Rn, Fr, Ra, Ac, Th, Pa, U, Np, Pu, Am, Bk, Cf, Es, Fm, Md, No, Lr, Rf, Db, Sg, Bh, Hs, Mt, Ds, Rg, Cn, Nh, Fl, Mc, Lv, Ts, Og",,,,,string,,,,,,
Channel Metal Isotope,Element mass number,,,,,,number,,,,,,
Channel Oligo Barcode Upper Strand,Oligo Barcode - Upper Strand,,,,,,string,,,,,,
Channel Oligo Barcode Lower Strand,Oligo Barcode - Lower Strand,,,,,,string,,,,,,
Channel Probe Dilution Ratio,Dilution (eg 1:1000),,,,,,string,,,,,,
Channel Probe Concentration,Concentration (eg 10ug/mL),,,,,,string,,,,,,
Imaging Level 1,Raw imaging data,,"ImagingLevel1_id, Filename, Biospecimen Key, Study Key, DatasetView Key, File Alias, File Description, File Design, File Level, Assay, Species, Tissue, Tumor Type, File Url, File Format, Data Use Codes, File Longitudinal Group, File Longitudinal Event Type, File Longitudinal Sequence Identifier, File Longitudinal Time Elapsed Unit, File Longitudinal Total Time Elapsed, Image Assay Type, Image Protocol Link, Image Platform Model, Image Platform Manufacturer, Image Software, ImagingChannel Key, Image Platform Model Version, Image DICOM Modality Type",,,,,,,,,True,
ImagingLevel1_id,"Unique row identifier, used as a primary key for record updates. This should be equivalent to the file Synapse Id unless otherwise indicated.",,,True,primary_key,,string,,"^syn\d{7,8}$",,,,
Image Assay Type,Type of imaging assay,"CODEX, CyCIF, ExSeq, GeoMX-DSP, H&E, IHC, IMC, MERFISH, MIBI, mIHC, MxIF, Not Applicable, SABER, t-CyCIF",,True,CDE:7789196,,string,,,,,,
Image Protocol Link,"Protocols.io ID or DOI link to a free/open protocol resource describing in detail the assay protocol (e.g. surface markers used in Smart-seq, dissociation duration,  lot/batch numbers for key reagents such as primers, sequencing reagent kits, etc.) or the protocol by which the sample was obtained or generated.",,,,,,string,uri,,,,,
Image Platform Model,The specific model of the instrument used to carry out an imaging experiment.,,,,CRDC_CDE:16072578,,string,,,,,,
Image Platform Manufacturer,Producer of the imaging equipment that was used to generate the digital image,,,,CRDC_CDE:16065939,,string,,,,,,
Image Software,"The name of the software package that was used to capture, generate, and process the image.",,,,,,string,,,,,,
Image Platform Model Version,A string of characters used to identify the equipment model version.,,,,CRDC_CDE:16065945,,string,,,,,,
Image DICOM Modality Type,"The specific manner, characteristic, pattern or function, method or process, or devices that created the data.",,,,CRDC_CDE:12137353,,string,,,,,,
Imaging Level 2,Raw and pre-processed image data,,"ImagingLevel2_id, Filename, ImagingLevel1 Key, ImagingChannel Key, Biospecimen Key, Study Key, DatasetView Key, File Alias, File Description, File Design, File Level, Assay, Species, Tissue, Tumor Type, File Url, File Format, Data Use Codes, File Longitudinal Group, File Longitudinal Event Type, File Longitudinal Sequence Identifier, File Longitudinal Time Elapsed Unit, File Longitudinal Total Time Elapsed, Image Assay Type, Image Protocol Link, Image Platform Model, Image Platform Manufacturer, Image Software, Image Objective, Image Nominal Magnification, Image Lense Aperture, Image Working Distance, Image Working Distance Unit, Image Immersion Type, Image Pyramidal, Image Z stack, Image Timeseries, Image FOV Index, Image FOV Size X, Image FOV Size X Unit, Image FOV Size Y, Image FOV Size Y Unit, Image Frame Averaging, Image Identifier, Image Dimension Order, Image Physical Size X, Image Physical Size X Unit, Image Physical Size Y, Image Physical Size Y Unit, Image Physical Size Z, Image Physical Size Z Unit, Image Pixels BigEndian, Image Plane Count, Image Channel Size, Image Number of Timepoints, Image X Pixels, Image Y Pixels, Image Z Pixels, Image Pixel Type",,,,,,,,,True,
ImagingLevel2_id,"Unique row identifier, used as a primary key for record updates. This should be equivalent to the file Synapse Id unless otherwise indicated.",,,True,primary_key,,string,,"^syn\d{7,8}$",,,,
Image Objective,Objective lens identifier,,,,,,string,,,,,,
Image Nominal Magnification,The magnification of the lens as specified by the manufacturer - i.e. '60' is a 60X lens. floating point value > 1(no units),,,,CDE:7788940,,number,,,,,,
Image Lense Aperture,The numerical aperture of the lens. Floating point value > 0.,,,,,,number,,,,,,
Image Working Distance,"The working distance of the lens, expressed as a floating point number. Floating point > 0.",,,,,,number,,,,,,
Image Working Distance Unit,The units of the working distance. See OME enumeration of allowed values for the UnitsLength attribute -- default: microns (um),"cm, mm, µm, nm, Å",,,,,string,,,,,,
Image Immersion Type,Immersion medium,"Air, Oil, Water, Other, Multi, Glycerol",,,CDE:8058286,,string,,,,,,
Image Pyramidal,Does data file contain pyramid of images,"True, False",,,CDE:7788945,,boolean,,,,,,
Image Z stack,Does data file contain a Z-stack of images,,,,,,boolean,,,,,,
Image Timeseries,Does data file contain a time-series of images,,,,,,boolean,,,,,,
Image FOV Index,Index of FOV (as it pertains to its sequence order). Integer >= 1,,,,,,number,,,,,,
Image FOV Size X,Field of view X dimension. Floating point,,,,,,number,,,,,,
Image FOV Size X Unit,Field of view X dimension units. See OME enumeration of allowed values for the UnitsLength attribute -- default: microns (um),,,,,,string,,,,,,
Image FOV Size Y,Field  of view Y dimension. Floating point value,,,,,,number,,,,,,
Image FOV Size Y Unit,Field of view Y dimension units. See OME enumeration of allowed values for the UnitsLength attribute -- default: microns (um),,,,,,string,,,,,,
Image Frame Averaging,"Number of frames averaged together (if no averaging, set to 1). Integer >= 1",,,,,,number,,,,,,
Image Identifier,"Unique internal image identifier. eg ""Image:0"". (To be extracted from OME-XML)",,,,,,string,,,,,,
Image Dimension Order,The order in which the individual planes of data are interleaved.,,,,,,string,,,,,,
Image Physical Size X,Physical size (X-dimension) of a pixel. Units are set by PhysicalSizeXUnit. Floating point value > 0.,,,,,,number,,,,,,
Image Physical Size X Unit,The units of the physical size of a pixel. See OME enumeration of allowed values for the UnitsLength attribute -- default: microns (um),,,,,,string,,,,,,
Image Physical Size Y,Physical size (Y-dimension) of a pixel. Units are set by PhysicalSizeYUnit. Floating point value > 0.,,,,,,number,,,,,,
Image Physical Size Y Unit,The units of the physical size of a pixel. See OME enumeration of allowed values for the UnitsLength attribute -- default: microns (um),,,,,,string,,,,,,
Image Physical Size Z,Physical size (Z-dimension) of a pixel. Units are set by PhysicalSizeZUnit. Floating point value > 0.,,,,,,number,,,,,,
Image Physical Size Z Unit,The units of the physical size of a pixel. See OME enumeration of allowed values for the UnitsLength attribute -- default: microns (um),,,,,,string,,,,,,
Image Pixels BigEndian,Boolean (True/False),"True, False",,,,,boolean,,,,,,
Image Plane Count,"Number of Z-planes (not to be confused with downsampled ""pyramid""). Integer >=1",,,,,,number,,,,,,
Image Channel Size,Number of channels. Integer >= 1,,,,,,number,,,,,,
Image Number of Timepoints,Number of time points. Integer >= 1,,,,,,number,,,,,,
Image X Pixels,Size of image: X dimension (in pixels). Integer >= 1,,,,,,number,,,,,,
Image Y Pixels,Size of image: Y dimension (in pixels). Integer >= 1,,,,,,number,,,,,,
Image Z Pixels,Size of image: Z dimension (in pixels). Integer >= 1,,,,,,number,,,,,,
Image Pixel Type,"Data type for each pixel value. E.g. ""uint16""",,,,,,string,,,,,,
Imaging Level 3 Image,Quality controlled or co-registered image data,,"ImagingLevel3Image_id, Filename, ImagingChannel Key, ImagingLevel2 Key, Biospecimen Key, Study Key, DatasetView Key, File Alias, File Description, File Design, File Level, Assay, Species, Tissue, Tumor Type, File Url, File Format, Data Use Codes, File Longitudinal Group, File Longitudinal Event Type, File Longitudinal Sequence Identifier, File Longitudinal Time Elapsed Unit, File Longitudinal Total Time Elapsed, Image Assay Type, Image Protocol Link, Image Platform Model, Image Platform Manufacturer, Image Software, Image Objective, Image Nominal Magnification, Image Lense Aperture, Image Working Distance, Image Working Distance Unit, Image Immersion Type, Image Pyramidal, Image Z stack, Image Timeseries, Image FOV Index, Image FOV Size X, Image FOV Size X Unit, Image FOV Size Y, Image FOV Size Y Unit, Image Frame Averaging, Image Identifier, Image Dimension Order, Image Physical Size X, Image Physical Size X Unit, Image Physical Size Y, Image Physical Size Y Unit, Image Physical Size Z, Image Physical Size Z Unit, Image Pixels BigEndian, Image Plane Count, Image Channel Size, Image Number of Timepoints, Image X Pixels, Image Y Pixels, Image Z Pixels, Image Pixel Type",,,,,,,,,True,
ImagingLevel3Image_id,"Unique row identifier, used as a primary key for record updates. This should be equivalent to the file Synapse Id unless otherwise indicated.",,,True,primary_key,,string,,"^syn\d{7,8}$",,,,
Imaging Level 3 Segments,Image segmentation mask information,,"ImagingLevel3Segments_id, Filename, ImagingLevel2 Key, ImagingLevel3Image Key, Biospecimen Key, Study Key, DatasetView Key, File Alias, File Description, File Design, File Level, Assay, Species, Tissue, Tumor Type, File Url, File Format, Data Use Codes, File Longitudinal Group, File Longitudinal Event Type, File Longitudinal Sequence Identifier, File Longitudinal Time Elapsed Unit, File Longitudinal Total Time Elapsed, Image Segmentation Data Type, Image Parameter file, Software and Version, Image Object Class, Image Object Class Description, Image Number of Objects",,,,,,,,,True,
ImagingLevel3Segments_id,"Unique row identifier, used as a primary key for record updates. This should be equivalent to the file Synapse Id unless otherwise indicated.",,,True,primary_key,,string,,"^syn\d{7,8}$",,,,
Image Segmentation Data Type,Specifies how the segmentation is stored,"Mask, Outline, Polygon, Probability Map, Point",,True,,,string,,,,,,
Image Parameter file,Path in Synapse to a text file listing algorithm version numbers and relevant parameters needed to reproduce the analysis,,,,,,string,,,,,,
Image Object Class,Defines the structure that the mask delineates,"Nucleus, Cytoplasm, Plasma Membrane, Whole Cell, Spot, Other",,,,,string,,,,,,
Image Number of Objects,The number of objects (eg cells) described,,,,,,number,,,,,,
Image Object Class Description,"If Imaging Object Class is ""Other"", please use this field to provide a text description of the imaging object class associated with the segmentation data",,,,,,string,,,,,,
Imaging Level 4,Derived imaging data or object by feature array,,"ImagingLevel4_id, Filename, ImagingLevel2 Key, ImagingLevel3Image Key, ImagingLevel3Segments Key, Biospecimen Key, Study Key, DatasetView Key, File Alias, File Description, File Design, File Level, Assay, Species, Tissue, Tumor Type, File Url, File Format, Data Use Codes, File Longitudinal Group, File Longitudinal Event Type, File Longitudinal Sequence Identifier, File Longitudinal Time Elapsed Unit, File Longitudinal Total Time Elapsed, Image Parameter file, Image Software, Image Number of Objects, Image Number of Features, Image Object Class, Image Summary Statistic",,,,,,,,,True,
ImagingLevel4_id,"Unique row identifier, used as a primary key for record updates. This should be equivalent to the file Synapse Id unless otherwise indicated.",,,True,primary_key,,string,,"^syn\d{7,8}$",,,,
Image Number of Features,The number of features (eg channels) described,,,True,,,number,,,,,,
Image Summary Statistic,Function used to summarize object/feature intensity,"Mean, Median, Not Specified",,True,,,string,,,,,,
Individual,Information about models and individuals from which biospecimen(s) were collected.,,"Individual_id, Study Key, Individual dbGaP Subject Id, Sex, Individual Gender, Individual Age at Diagnosis, Disease Type, Primary Diagnosis, Primary Site, Individual Primary Tumor Stage, Site of Origin, Tumor Subtype, Tumor Grade, Individual Tumor Lymph Node Stage, Known Metastasis Sites, Individual Metastasis Stage, Treatment Type, Therapeutic Agent, Days to Treatment, Treatment Response, Individual Days to Last Followup, Individual Recurrence Status, Individual Days To Recurrence, Individual Days to Last Known Disease Status, Last Known Disease Status, Individual Vital Status, Individual Residual Disease Status, Individual Age 90 or Older, Individual Year of Birth, Individual Year of Death, Individual Year of Diagnosis, Individual Disease Progression or Recurrence Type, ICD-10-CM Disease Code, Individual Lymph Node Involvement Anatomic Site Uberon Identifier, Individual Progression or Recurrence Anatomic Site Uberon Identifier, Treatment Anatomic Site, Individual Treatment Intent Type, Individual Treatment or Therapy Indicator",,,,,,,,,True,
Individual_id,"Unique row identifier, used as a primary key for record updates. This should follow the GrantNumber-INDxxx convention unless otherwise indicated.",,,True,"CDE:12220014, primary_key",,string,,"^CA\d{6}-IND\d{1,9}$",,,,
Individual Age at Diagnosis,"Age at the time the individual was diagnosed, expressed in years. Note: the CRDC-required CDE for this concept (Subject Age At Diagnosis, CDE 10609539) expresses this value in days rather than years; a documented days<->years derivation is implemented at the mapping/ETL layer for CRDC submission, not as a separate stored field.",,,,"CDE:15019300, CRDC_CDE:10609539",,number,,,,,,
Individual Gender,"Text designations that identify gender. Gender is described as the assemblage of properties that distinguish people on the basis of their societal roles. Identification of gender is based upon self-report and may come from a form, questionnaire, interview, etc.","Female, Male, Intersex, Unknown, Unspecified, Not Reported",,,,,string,,,,,,
Individual dbGaP Subject Id,The identifer assigned to the participant by dbGap,,,,,,string,,,,,,
Individual Days to Last Followup,Number of days between the dates used for index and last follow-up,,,,,,number,,,,,,
Individual Primary Tumor Stage,Extent of the primary cancer based on evidence obtained from clinical assessment parameters determined prior to treatment.,"Not Reported, T0, T1, T1a, T1a1, T1a2, T1b, T1b1, T1b2, T1c, T1mi, T2, T2a, T2a1, T2a2, T2b, T2c, T2d, T3, T3a, T3b, T3c, T3d, T4, T4a, T4b, T4c, T4d, T4e, T5, Ta, Tis, Tis (DCIS), Tis (LCIS), Tis (Paget's), TX, Unknown",,,CDE:3440328,,string,,,,,,
